ID_ARBRE,commune,quartier,site,cote_voirie,matricule_arbre,genre_arbre,espece_arbre,controle,situation,type_sol,surf_permeable,date_plantation,classe_age,hauteur,classe_hauteur,diametre,circonference (en cm),classe_circonference,port_arbre,vigueur_pousse,champignon_collet,insecte_collet,plaie_collet,observation_collet,champignon_tronc,insecte_tronc,fissure_tronc,rejet_tronc,tuteurage_arbre,canisse_arbre,plaie_tronc,observation_tronc,champignon_houppier,insecte_houppier,fissure_houppier,ecorce_incluse_houppier,bois_mort_houppier,plaie_houppier,observation_houppier,esperance_maintien,contrainte,classification_diagnostic
78551-Arbres-023,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,2,Tilia, Platyphyllos -  - Flamme du Vercor,,Alignement,Gr,0,2015,J,400,H1,28.64788976,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-024,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,3,Tilia, Platyphyllos -  - Flamme du Vercor,,Alignement,Gr,0,2015,J,400,H1,28.64788976,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-025,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,4,Tilia, Platyphyllos -  - Flamme du Vercor,,Alignement,Gr,0,2015,J,400,H1,28.64788976,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-026,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,5,Tilia, Platyphyllos -  - Flamme du Vercor,,Alignement,Gr,0,2015,J,400,H1,28.64788976,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-027,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,6,Tilia, Platyphyllos -  - Flamme du Vercor,,Alignement,Gr,0,2015,J,400,H1,28.64788976,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-028,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,7,Tilia, Platyphyllos -  - Flamme du Vercor,,Alignement,Gr,0,2015,J,400,H1,28.64788976,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-029,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,8,Tilia, Platyphyllos -  - Flamme du Vercor,,Alignement,Gr,0,2015,J,400,H1,28.64788976,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-030,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,10,Tilia, Platyphyllos -  - Flamme du Vercor,,Alignement,Gr,0,2015,J,400,H1,28.64788976,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-031,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,11,Tilia, Platyphyllos -  - Flamme du Vercor,,Alignement,Gr,0,2015,J,400,H1,28.64788976,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-032,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,11,Tilia, Platyphyllos -  - Flamme du Vercor,,Alignement,Gr,0,2015,J,400,H1,28.64788976,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-033,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,12,Tilia, Platyphyllos -  - Flamme du Vercor,,Alignement,Gr,0,2015,J,400,H1,28.64788976,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-034,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,13,Tilia, Platyphyllos -  - Flamme du Vercor,,Alignement,Gr,0,2015,J,400,H1,28.64788976,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-035,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,14,Tilia, Platyphyllos -  - Flamme du Vercor,,Alignement,Gr,0,2015,J,400,H1,28.64788976,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-036,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,15,Zelkova, Carpinifolia - K. Koch -  ,,Alignement,Gr,0,2015,J,400,H1,22.28169203,35,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-037,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,16,Zelkova, Carpinifolia - K. Koch -  ,,Alignement,Gr,0,2015,J,400,H1,22.28169203,35,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-038,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,17,Zelkova, Carpinifolia - K. Koch -  ,,Alignement,Gr,0,2015,J,400,H1,22.28169203,35,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-039,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,18,Zelkova, Carpinifolia - K. Koch -  ,,Alignement,Gr,0,2015,J,400,H1,22.28169203,35,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-040,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,19,Zelkova, Carpinifolia - K. Koch -  ,,Alignement,Gr,0,2015,J,400,H1,22.28169203,35,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-041,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,20,Zelkova, Carpinifolia - K. Koch -  ,,Alignement,Gr,0,2015,J,400,H1,22.28169203,35,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-042,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,21,Zelkova, Carpinifolia - K. Koch -  ,,Alignement,Gr,0,2015,J,400,H1,22.28169203,35,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-043,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,22,Zelkova, Carpinifolia - K. Koch -  ,,Alignement,Gr,0,2015,J,400,H1,22.28169203,35,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-044,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,23,Fagus, Sylvatica - L. -  ,,Isolé,Gr,0,2015,J,250,H1,15.91549431,25,C1,L,MP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPPL,,Non,Non,HPF ,Non,HPBM ,HPPL,,1,Non,C1
78551-Arbres-045,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,24,Zelkova, Carpinifolia - K. Koch -  ,,Isolé,Gr,0,2015,J,400,H1,22.28169203,35,C1,L,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
78551-Arbres-046,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,25,Prunus, Avium -  - Bigarreau Napoléon,,Isolé,Gr,0,2015,J,250,H1,15.91549431,25,C1,L,MP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Non,TPPL,,Non,Non,HPF ,Non,HPBM ,HPPL,,1,Non,C1
78551-Arbres-047,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,26,Ginkgo, Biloba -  - Autumn Gold,,Isolé,GR,30,200,JA,700,H2,50.92958179,80,C2,L,P,Non,Non,RCPLNC,,Non,Non,TPF,Non,Non,Non,TPPL,,Non,Non,HPF ,Non,HPBM ,HPPL,,1,Non,C2
78551-Arbres-048,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,1,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,41.3802852,65,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLNC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C2
78551-Arbres-049,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,36,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,35.01408748,55,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-050,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,2,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2018,JA,500,H1,19.09859317,30,C1,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Non,T2:Bipode,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPLS,Tuteur de formation,1,Non,C2
78551-Arbres-051,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,37,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,38.19718634,60,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Non,T2:Bipode,Oui,TPLNC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C2
78551-Arbres-052,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,3,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,38.19718634,60,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLNC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C2
78551-Arbres-053,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,38,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,38.19718634,60,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-054,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,4,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,38.19718634,60,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLNC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C2
78551-Arbres-055,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,39,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,35.01408748,55,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-056,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,5,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2018,JA,500,H1,15.91549431,25,C1,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Non,T2:Bipode,Oui,TPLC,,Non,Non,HPF ,Non,HPBM ,HPLS,Tuteur de formation,1,Non,C1
78551-Arbres-057,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,40,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,35.01408748,55,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-058,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,6,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,38.19718634,60,C2,R5,P,Non,Non,RCPLNC,Choc collet,Non,Non,TPF,Non,Non,Non,TPLNC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C2
78551-Arbres-059,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,41,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,35.01408748,55,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-060,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,7,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2018,J,500,H1,19.09859317,30,C1,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Oui,TPLC,,Non,Non,HPF ,Non,HPBM ,HPLS,Tuteur de formation,1,Non,C1
78551-Arbres-061,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,42,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,35.01408748,55,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-062,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,43,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,35.01408748,55,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-063,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,44,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,38.19718634,60,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-064,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,45,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,38.19718634,60,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-065,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,46,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,35.01408748,55,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-066,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,47,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,38.19718634,60,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Non,T2:Bipode,Oui,TPLC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-067,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,48,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,38.19718634,60,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-068,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,49,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,35.01408748,55,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-069,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,50,Tilia, Europaea -  - Pallida,,Alignement,GR,4,2000,A,500,H1,35.01408748,55,C2,R5,P,Non,Non,RCPPL,,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-070,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Rue Pereire,,2,Corylus, Colurna - L. -  ,,Alignement,MA,20,2010,JA,700,H2,38.19718634,60,C2,SL,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLC,,Non,Non,HPF ,Non,HPBM ,HPPL,,1,Non,C1
78551-Arbres-071,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Rue Pereire,,3,Corylus, Colurna - L. -  ,,Alignement,MA,20,2010,JA,700,H2,31.83098862,50,C1,SL,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLC,,Non,Non,HPF ,Non,HPBM ,HPPL,,1,Non,C1
78551-Arbres-072,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Rue Pereire,,4,Corylus, Colurna - L. -  ,,Alignement,MA,20,2010,JA,700,H2,31.83098862,50,C1,SL,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLC,,Non,Non,HPF ,Non,HPBM ,HPPL,,1,Non,C1
